ID,D_Mpc,R_kpc,Vobs_kms,eV_kms,Vgas_kms,Vdisk_kms,Vbul_kms,SBdisk,SBb,Vobs_ms,Vgas_ms,Vdisk_ms,Vbul_ms,R_m,Vbar_kms,Vbar_ms,g_obs,g_bar,eV_ms,g_obs_err
CamB,3.36,0.16,1.99,1.5,1.86,3.75,0.0,30.32,0.0,1990.0,1860.0,3750.0,0.0,4.9370841296e+18,4.185940754478018,4185.940754478018,8.021131291357689e-13,3.5490786747884785e-12,1500.0,1.2092157725664857e-12
CamB,3.36,0.41,4.84,1.5,4.24,9.47,0.0,23.77,0.0,4840.0,4240.0,9470.0,0.0,1.2651278082099999e+19,10.375861410022784,10375.861410022784,1.8516390081682213e-12,8.509693589956222e-12,1500.0,1.1477101290298893e-12
CamB,3.36,0.57,6.79,1.5,5.61,11.76,0.0,15.87,0.0,6790.0,5610.0,11760.0,0.0,1.7588362211699999e+19,13.029570215475259,13029.570215475258,2.621284429162539e-12,9.652388207417462e-12,1500.0,1.1581521778332278e-12
CamB,3.36,0.73,8.87,1.5,6.77,13.72,0.0,12.4,0.0,8870.0,6770.0,13720.0,0.0,2.25254463413e+19,15.299388876683931,15299.388876683932,3.492800933127231e-12,1.0391416731700207e-11,1500.0,1.1813306425458503e-12
CamB,3.36,0.9,10.9,1.5,7.77,14.8,0.0,9.63,0.0,10900.0,7770.0,14800.0,0.0,2.7771098229e+19,16.715648357153245,16715.648357153244,4.278188749335542e-12,1.0061283774086496e-11,1500.0,1.1774831420189565e-12
CamB,3.36,1.06,12.9,1.5,8.44,15.24,0.0,5.86,0.0,12900.0,8440.0,15240.0,0.0,3.27081823586e+19,17.420998823259247,17420.998823259248,5.087717751342597e-12,9.278754675898486e-12,1500.0,1.1831901747308365e-12
CamB,3.36,1.22,14.7,1.5,8.64,15.11,0.0,5.19,0.0,14700.0,8640.0,15110.0,0.0,3.7645266488199995e+19,17.405795012006777,17405.795012006776,5.740163907930734e-12,8.047803303370534e-12,1500.0,1.1714620220266804e-12
CamB,3.36,1.47,16.8,1.5,8.08,15.9,0.0,3.02,0.0,16800.0,8080.0,15900.0,0.0,4.5359460440699994e+19,17.835257217096704,17835.257217096703,6.222296236724028e-12,7.012790648509997e-12,1500.0,1.1111243279864335e-12
CamB,3.36,1.79,20.1,1.5,6.91,14.91,0.0,0.88,0.0,20100.0,6910.0,14910.0,0.0,5.52336286999e+19,16.433386747715762,16433.386747715762,7.314565591826333e-12,4.889343799359844e-12,1500.0,1.0917262077352735e-12
D512-2,15.2,0.96,22.9,2.71,4.08,14.85,0.0,16.45,0.0,22900.0,4080.0,14850.0,0.0,2.9622504777599996e+19,15.400288958328021,15400.288958328021,1.7703094452584893e-11,8.006375618153088e-12,2710.0,4.1899900407428e-12
D512-2,15.2,1.92,33.5,2.71,6.24,21.2,0.0,7.4,0.0,33500.0,6240.0,21200.0,0.0,5.924500955519999e+19,22.099266956168478,22099.266956168478,1.894252374040674e-11,8.243354227919685e-12,2710.0,3.0647307066568515e-12
D512-2,15.2,2.88,37.2,4.19,7.45,20.56,0.0,2.72,0.0,37200.0,7450.0,20560.0,0.0,8.88675143328e+19,21.86815264259878,21868.15264259878,1.5571944488259873e-11,5.3812251146029396e-12,4190.0,3.5078735164413368e-12
D512-2,15.2,3.83,35.9,5.98,8.09,20.08,0.0,1.79,0.0,35900.0,8090.0,20080.0,0.0,1.181814513523e+20,21.64842950423887,21648.42950423887,1.0905349234187736e-11,3.965550385761778e-12,5980.0,3.633091276904884e-12
D564-8,8.79,0.51,8.54,1.53,3.47,6.36,0.0,6.37,0.0,8540.0,3470.0,6360.0,0.0,1.57369556631e+19,7.245032781154272,7245.032781154272,4.6344160561505524e-12,3.3354926533268238e-12,1530.0,1.6605753081757248e-12
D564-8,8.79,1.02,15.1,1.41,5.33,8.66,0.0,2.82,0.0,15100.0,5330.0,8660.0,0.0,3.14739113262e+19,10.168800322555262,10168.800322555262,7.244412606900763e-12,3.285403549889347e-12,1410.0,1.3529300365205398e-12
D564-8,8.79,1.53,19.8,1.8,6.34,9.09,0.0,1.19,0.0,19800.0,6340.0,9090.0,0.0,4.72108669893e+19,11.082585438425458,11082.585438425458,8.304020345333904e-12,2.6015980606294965e-12,1800.0,1.5098218809698008e-12
D564-8,8.79,2.04,21.9,1.82,6.86,8.75,0.0,0.52,0.0,21900.0,6860.0,8750.0,0.0,6.29478226524e+19,11.118547567016117,11118.547567016118,7.619167427734913e-12,1.9638820659873404e-12,1820.0,1.2663821660710083e-12
D564-8,8.79,2.56,24.0,1.89,7.05,8.17,0.0,0.22,0.0,24000.0,7050.0,8170.0,0.0,7.89933460736e+19,10.791264986089443,10791.264986089443,7.291753402410969e-12,1.4741925211206958e-12,1890.0,1.1484511608797277e-12
D564-8,8.79,3.07,25.0,2.05,7.04,7.65,0.0,0.0,0.0,25000.0,7040.0,7650.0,0.0,9.473030173669999e+19,10.39635032114636,10396.35032114636,6.597677707574168e-12,1.1409664913811475e-12,2050.0,1.0820191440421636e-12
D631-7,7.72,0.45,8.41,1.58,8.4,9.99,0.0,26.06,0.0,8410.0,8400.0,9990.0,0.0,1.38855491145e+19,13.052206709978202,13052.206709978202,5.093648037738897e-12,1.22688774203464e-11,1580.0,1.913903424406054e-12
D631-7,7.72,0.9,17.8,2.22,13.51,15.52,0.0,19.64,0.0,17800.0,13510.0,15520.0,0.0,2.7771098229e+19,20.57645499108143,20576.45499108143,1.140898344701181e-11,1.5245724044066573e-11,2220.0,2.8458363204905863e-12
D631-7,7.72,1.35,26.0,2.35,16.7,20.76,0.0,12.17,0.0,26000.0,16700.0,20760.0,0.0,4.16566473435e+19,26.643340631384795,26643.340631384795,1.622790222232038e-11,1.704092012365863e-11,2350.0,2.9335054017271457e-12
D631-7,7.72,1.8,30.9,2.22,18.72,21.37,0.0,4.5,0.0,30900.0,18720.0,21370.0,0.0,5.5542196458e+19,28.40977472631559,28409.77472631559,1.7190713743595106e-11,1.4531569715834447e-11,2220.0,2.4701219748078404e-12
D631-7,7.72,2.25,34.7,1.82,19.9,19.92,0.0,2.1,0.0,34700.0,19900.0,19920.0,0.0,6.94277455725e+19,28.156995578363823,28156.99557836382,1.7343066378882025e-11,1.1419302088271041e-11,1820.0,1.8192726691392094e-12
D631-7,7.72,2.69,38.8,1.81,20.61,18.76,0.0,1.13,0.0,38800.0,20610.0,18760.0,0.0,8.30047269289e+19,27.869512015821158,27869.512015821158,1.813679841739045e-11,9.357415279075758e-12,1810.0,1.6921445946122018e-12
D631-7,7.72,3.14,42.5,1.57,20.73,17.36,0.0,0.54,0.0,42500.0,20730.0,17360.0,0.0,9.68902760434e+19,27.03890715247197,27038.90715247197,1.8642221632137032e-11,7.545674652351258e-12,1570.0,1.377331198233183e-12
D631-7,7.72,3.59,45.6,1.59,20.61,16.32,0.0,0.37,0.0,45600.0,20610.0,16320.0,0.0,1.107758251579e+20,26.289056658617476,26289.056658617475,1.87708825191424e-11,6.238856709168128e-12,1590.0,1.309022070413878e-12
D631-7,7.72,4.04,48.8,1.83,20.38,15.37,0.0,0.18,0.0,48800.0,20380.0,15370.0,0.0,1.246613742724e+20,25.52609057415569,25526.09057415569,1.9103270871988535e-11,5.226809858330431e-12,1830.0,1.4327453153991403e-12
D631-7,7.72,4.49,51.8,1.91,19.9,14.49,0.0,0.1,0.0,51800.0,19900.0,14490.0,0.0,1.385469233869e+20,24.616459940454476,24616.459940454475,1.9367012521143487e-11,4.373753564399223e-12,1910.0,1.428223703296682e-12
D631-7,7.72,4.94,54.8,2.19,19.43,13.72,0.0,0.05,0.0,54800.0,19430.0,13720.0,0.0,1.524324725014e+20,23.785779364990336,23785.779364990336,1.9700789147616946e-11,3.711566772590426e-12,2190.0,1.5746251180029603e-12
D631-7,7.72,5.39,56.6,2.73,18.84,13.04,0.0,0.03,0.0,56600.0,18840.0,13040.0,0.0,1.663180216159e+20,22.912599154177162,22912.599154177162,1.926165287967651e-11,3.1565262435144984e-12,2730.0,1.8581029103009492e-12
D631-7,7.72,5.84,58.4,3.27,18.25,12.45,0.0,0.01,0.0,58400.0,18250.0,12450.0,0.0,1.802035707304e+20,22.092193191261025,22092.193191261023,1.8926151053368918e-11,2.7084091509495505e-12,3270.0,2.119469655634122e-12
D631-7,7.72,6.29,58.5,3.95,17.65,11.93,0.0,0.01,0.0,58500.0,17650.0,11930.0,0.0,1.9408911984489998e+20,21.303694515271285,21303.694515271287,1.7632363950822076e-11,2.3383453970149247e-12,3950.0,2.3811226531879385e-12
D631-7,7.72,6.74,57.7,4.07,17.06,11.48,0.0,0.0,0.0,57700.0,17060.0,11480.0,0.0,2.079746689594e+20,20.562927807099843,20562.927807099844,1.6008151457377393e-11,2.033103368384464e-12,4070.0000000000005,2.2583423373145928e-12
D631-7,7.72,7.19,57.3,3.94,16.47,11.08,0.0,0.0,0.0,57300.0,16470.0,11080.0,0.0,2.218602180739e+20,19.850120906432785,19850.120906432785,1.4798912705054496e-11,1.7760160132392566e-12,3940.0,2.0351733353547895e-12
DDO064,6.8,0.1,6.29,4.62,-1.13,1.96,0.0,28.5,0.0,6290.0,-1130.0,1960.0,0.0,3.085677581e+18,2.262410219213129,2262.410219213129,1.2821851590592349e-11,1.6587928795662459e-12,4620.0,1.8835279602078426e-11
DDO064,6.8,0.3,13.9,4.62,-2.45,6.31,0.0,27.26,0.0,13900.0,-2450.0,6310.0,0.0,9.257032742999998e+18,6.768943787622999,6768.943787622999,2.08716988871085e-11,4.949598999166032e-12,4620.0,1.38744242961786e-11
DDO064,6.8,0.49,15.6,4.62,-0.64,9.67,0.0,24.99,0.0,15600.0,-640.0,9670.0,0.0,1.5119820146899999e+19,9.691155761827378,9691.155761827378,1.6095429551117765e-11,6.211614892737729e-12,4620.0,9.5334467341236e-12
DDO064,6.8,0.69,18.4,4.62,2.49,13.92,0.0,20.86,0.0,18400.0,2490.0,13920.0,0.0,2.1291175308899996e+19,14.140951170271396,14140.951170271397,1.5901423716072516e-11,9.391989737476415e-12,4620.0,7.985280170462504e-12
DDO064,6.8,0.89,22.5,4.62,1.87,15.16,0.0,13.91,0.0,22500.0,1870.0,15160.0,0.0,2.74625304709e+19,15.274897708331798,15274.897708331799,1.8434208039803014e-11,8.496030627885313e-12,4620.0,7.570314768345771e-12
DDO064,6.8,1.09,26.5,4.62,4.97,16.41,0.0,11.73,0.0,26500.0,4970.0,16410.0,0.0,3.36338856329e+19,17.146107429967888,17146.107429967888,2.0879240884171674e-11,8.740857455744744e-12,4620.0,7.28015795357533e-12
DDO064,6.8,1.29,35.3,4.62,9.29,17.34,0.0,10.3,0.0,35300.0,9290.0,17340.0,0.0,3.98052407949e+19,19.671799612643476,19671.799612643477,3.13046718250139e-11,9.721827886783728e-12,4620.0,8.194197384224604e-12
DDO064,6.8,1.48,40.5,4.62,13.62,18.34,0.0,7.96,0.0,40500.0,13620.0,18340.0,0.0,4.56680281988e+19,22.844255295369116,22844.255295369116,3.591681236728106e-11,1.1427250542288852e-11,4620.0,8.194354228979679e-12
DDO064,6.8,1.68,44.2,4.89,16.26,19.12,0.0,6.72,0.0,44200.0,16260.000000000002,19120.0,0.0,5.18393833608e+19,25.09904380648793,25099.04380648793,3.7686405071656524e-11,1.2152189303940794e-11,4890.0,8.338756597303186e-12
DDO064,6.8,1.88,46.3,4.62,18.16,19.54,0.0,3.97,0.0,46300.0,18160.0,19540.0,0.0,5.80107385228e+19,26.6757792763398,26675.7792763398,3.695333061752807e-11,1.2266646109328886e-11,4620.0,7.374703561683786e-12
DDO064,6.8,2.08,46.4,4.62,19.64,19.1,0.0,2.84,0.0,46400.0,19640.0,19100.0,0.0,6.4182093684800004e+19,27.395977806970134,27395.977806970135,3.3544558558236584e-11,1.1693909576803778e-11,4620.0,6.679993988752284e-12
DDO064,6.8,2.27,46.3,4.62,20.17,18.77,0.0,2.16,0.0,46300.0,20170.0,18770.0,0.0,7.00448810887e+19,27.55252801468497,27552.52801468497,3.0604520511432933e-11,1.0837934024595963e-11,4620.0,6.107684007033268e-12
DDO064,6.8,2.37,46.4,6.73,20.59,18.61,0.0,1.86,0.0,46400.0,20590.0,18610.0,0.0,7.31305586697e+19,27.75392224533318,27753.92224533318,2.943995012705996e-11,1.053294565243282e-11,6730.0,8.540123463582479e-12
DDO064,6.8,2.98,46.9,8.65,22.17,17.21,0.0,0.0,0.0,46900.0,22170.0,17210.0,0.0,9.195319191379999e+19,28.065868951450625,28065.868951450626,2.392097494627471e-11,8.566238796130211e-12,8650.0,8.823728498306023e-12
DDO154,4.04,0.49,13.8,1.6,3.74,12.31,0.0,15.93,0.0,13800.0,3740.0,12310.0,0.0,1.5119820146899999e+19,12.865601423952167,12865.601423952168,1.25953879179605e-11,1.0947464876686196e-11,1600.0,2.920669662135768e-12
DDO154,4.04,0.99,21.6,0.8,7.46,14.55,0.0,5.52,0.0,21600.0,7460.0,14550.0,0.0,3.05482080519e+19,16.350966332299752,16350.966332299751,1.527290894468625e-11,8.751875054202122e-12,800.0,1.1313265884952778e-12
DDO154,4.04,1.48,28.9,0.7,10.87,12.95,0.0,1.26,0.0,28900.0,10870.0,12950.0,0.0,4.56680281988e+19,16.907377088123397,16907.377088123398,1.8288724802485483e-11,6.259508265949424e-12,700.0,8.859589869716151e-13
DDO154,4.04,1.97,34.3,0.5,13.32,11.54,0.0,0.29,0.0,34300.0,13320.0,11540.0,0.0,6.07878483457e+19,17.623677255328978,17623.677255328977,1.935403262358146e-11,5.109475141045532e-12,500.0,5.642575108915877e-13
